,left,right
319,9064208,5934511
320,9072237,4201020
321,9078240,7688300
322,9083312,14077179
323,9109799,9074101
324,9141404,16691937
325,9154024,16947349
326,9201911,17591687
327,9207332,8305958
328,9235545,17435815
329,9236708,9212816
330,9237370,3726990
331,9237734,15800115
332,9238937,9103732
333,9239759,9034378
334,9251793,4190567
335,9252296,4201555
336,9348984,2772093
337,9351843,17990556
338,9372642,9842000
339,9384504,5935744
340,9408003,6061068
341,9409359,3913620
342,9421292,5507096
343,9423829,9057043
344,9424902,3027876
345,9428865,13674287
346,9429085,17247877
347,9436520,20536322
348,9445876,4102413
349,9447255,16295025
350,9480916,9077224
351,9481869,14762026
352,9488991,5585799
353,9503414,13950464
354,9503428,10343101
355,9508724,17541953
356,9524538,11946903
357,9527333,13210358
358,9527522,14083681
359,9567051,9539868
360,9577562,17132009
361,9589146,7503199
362,9594273,16934932
363,9612903,17535542
364,9714476,16709072
365,9739780,3182103
366,9747418,4127707
367,9787592,13191017
368,9787933,867393
369,9792178,2920061
370,9795662,15250080
371,9800031,17980698
372,9822593,15023987
373,9842383,6219445
374,9870483,12935696
375,9927082,7874184
376,9940382,8124177
377,9961098,4311241
378,9965610,8132513
379,9971209,8812078
380,9983417,17658884
381,10017804,2660767
382,10017931,6978516
383,10017661,11460897
384,10017944,16913476
385,10018150,17379298
386,10018161,17379360
387,10018260,17379372
388,10100020,1868538
389,3450751,10160250
390,10202724,5480553
391,10209260,17437719
392,10229852,16347283
393,10234576,19090042
394,10237401,5858788
395,10238739,5893912
396,10240382,5895651
397,10248031,17380319
398,10281116,10351681
399,10282065,5946241
400,10317031,2504517
401,10323628,8370111
402,10329208,3561724
403,10345590,15048530
404,10378182,16713231
405,10382686,16100103
406,10382824,17297936
407,10400440,18264509
408,10411574,17379420
409,10418394,2260755
410,10427055,17437725
411,10447988,16540741
412,10449035,17658948
413,10459723,13535380
414,10473853,16355225
415,10523825,17455871
416,10527147,7573476
417,10540188,8932110
418,10543751,11464638
419,10553248,8496618
420,10555409,5247102
421,10563755,13535387
422,10568310,2667980
423,10581624,13564607
424,10583715,11306294
425,10596949,13411445
426,10600188,8571259
427,10609443,6114695
